Raport proby PiezoTester V2.0
Data rozpoczecia,2026-04-18 19:45:43
Data zakonczenia,2026-04-18 19:59:06
Czas trwania,13:22
Liczba probek,50
Typ testu,standard

Statystyki
Parametr,Srednia,Min,Max,Odch. std.
Obciazenie [g],1379.099,1322.734,1407.017,14.019
Rezystancja,99208.837,88962.070,117467.469,6200.312

date,time,idx,mode,phase,cycle,point,target_g,pwm_duty,pwm_pct,mass_g,resistance,load_v,zero_v,relative_v,sensor_v
2026-04-18,19:49:31,14,standard,none,0,0,,8191,100.000000,1390.487000,92541.250000,0.095356338,0.071097143,0.166453481,1.587270141
2026-04-18,19:49:47,15,standard,none,0,0,,8191,100.000000,1387.052000,92403.852000,0.095120743,0.071120277,0.166241020,1.586046219
2026-04-18,19:50:04,16,standard,none,0,0,,8191,100.000000,1386.700000,99658.398000,0.095096633,0.071100757,0.166197389,1.648367405
2026-04-18,19:50:20,17,standard,none,0,0,,8191,100.000000,1388.183000,96459.867000,0.095198303,0.071096286,0.166294590,1.621457696
2026-04-18,19:50:36,18,standard,none,0,0,,8191,100.000000,1379.781000,109191.125000,0.094622105,0.071093023,0.165715128,1.723683357
2026-04-18,19:50:52,19,standard,none,0,0,,8191,100.000000,1379.546000,105804.766000,0.094606012,0.071117386,0.165723398,1.697728038
2026-04-18,19:51:09,20,standard,none,0,0,,8191,100.000000,1385.888000,96727.109000,0.095040917,0.071096361,0.166137278,1.623739481
2026-04-18,19:51:25,21,standard,none,0,0,,8191,100.000000,1389.891000,101944.117000,0.095315434,0.071100496,0.166415930,1.667074800
2026-04-18,19:51:41,22,standard,none,0,0,,8191,100.000000,1371.082000,96846.219000,0.094025552,0.071071267,0.165096819,1.624754548
2026-04-18,19:51:57,23,standard,none,0,0,,8191,100.000000,1377.090000,104093.531000,0.094437599,0.071085185,0.165522784,1.684284210
2026-04-18,19:52:14,24,standard,none,0,0,,8191,100.000000,1375.383000,99865.797000,0.094320484,0.071074240,0.165394723,1.650082469
2026-04-18,19:52:30,25,standard,none,0,0,,8191,100.000000,1374.886000,100800.203000,0.094286464,0.071092509,0.165378973,1.657765746
2026-04-18,19:52:46,26,standard,none,0,0,,8191,100.000000,1377.448000,102567.844000,0.094462156,0.071074978,0.165537134,1.672106385
2026-04-18,19:53:02,27,standard,none,0,0,,8191,100.000000,1389.562000,88962.070000,0.095292881,0.071086630,0.166379511,1.554804206
2026-04-18,19:53:19,28,standard,none,0,0,,8191,100.000000,1376.969000,103798.766000,0.094429255,0.071065277,0.165494531,1.681945562
2026-04-18,19:53:35,29,standard,none,0,0,,8191,100.000000,1373.628000,104319.859000,0.094200164,0.071075991,0.165276155,1.686075211
2026-04-18,19:53:51,30,standard,none,0,0,,8191,100.000000,1371.074000,95637.195000,0.094025016,0.071056992,0.165082008,1.614394069
2026-04-18,19:54:07,31,standard,none,0,0,,8191,100.000000,1372.968000,108160.328000,0.094154857,0.071101077,0.165255934,1.715872049
2026-04-18,19:54:24,32,standard,none,0,0,,8191,100.000000,1375.440000,103357.961000,0.094324403,0.071098261,0.165422663,1.678435802
2026-04-18,19:54:40,33,standard,none,0,0,,8191,100.000000,1386.656000,101798.094000,0.095093615,0.071071915,0.166165531,1.665892363
2026-04-18,19:54:56,34,standard,none,0,0,,8191,100.000000,1388.848000,109645.906000,0.095243916,0.071101770,0.166345686,1.727105141
2026-04-18,19:55:12,35,standard,none,0,0,,8191,100.000000,1373.230000,98021.328000,0.094172895,0.071101069,0.165273964,1.634703159
2026-04-18,19:55:29,36,standard,none,0,0,,8191,100.000000,1377.967000,103540.992000,0.094497725,0.071094528,0.165592253,1.679894924
2026-04-18,19:55:45,37,standard,none,0,0,,8191,100.000000,1382.906000,100991.492000,0.094836384,0.071094215,0.165930599,1.659329772
2026-04-18,19:56:01,38,standard,none,0,0,,8191,100.000000,1383.303000,93212.930000,0.094863653,0.071100384,0.165964037,1.593228698
2026-04-18,19:56:17,39,standard,none,0,0,,8191,100.000000,1370.875000,94534.180000,0.094011344,0.071093969,0.165105313,1.604829550
2026-04-18,19:56:34,40,standard,none,0,0,,8191,100.000000,1364.444000,91163.734000,0.093570352,0.071103647,0.164673999,1.574919105
2026-04-18,19:56:50,41,standard,none,0,0,,8191,100.000000,1378.788000,92688.727000,0.094554037,0.071084008,0.165638044,1.588582039
2026-04-18,19:57:06,42,standard,none,0,0,,8191,100.000000,1372.206000,100599.047000,0.094102614,0.071068995,0.165171608,1.656117797
2026-04-18,19:57:22,43,standard,none,0,0,,8191,100.000000,1384.918000,104181.047000,0.094974406,0.071086146,0.166060552,1.684977174
2026-04-18,19:57:39,44,standard,none,0,0,,8191,100.000000,1375.672000,103332.734000,0.094340310,0.071103051,0.165443361,1.678234458
2026-04-18,19:57:55,45,standard,none,0,0,,8191,100.000000,1383.730000,97885.680000,0.094892912,0.071058519,0.165951431,1.633560777
2026-04-18,19:58:11,46,standard,none,0,0,,8191,100.000000,1370.608000,96785.430000,0.093993053,0.071086615,0.165079668,1.624236703
2026-04-18,19:58:27,47,standard,none,0,0,,8191,100.000000,1383.937000,117467.469000,0.094907105,0.071077392,0.165984496,1.783714294
2026-04-18,19:58:44,48,standard,none,0,0,,8191,100.000000,1367.950000,94705.883000,0.093810759,0.071058370,0.164869130,1.606325507
2026-04-18,19:59:00,49,standard,none,0,0,,8191,100.000000,1380.903000,116535.016000,0.094699033,0.071088292,0.165787324,1.777180433
2026-04-18,19:59:06,50,standard,none,0,0,,8191,100.000000,1401.852000,102820.594000,0.096135683,0.071080901,0.167216584,1.674136400
